id,domain,task_difficulty,time_to_reward_days,past_failure_loops,self_efficacy_score,emotional_valence,social_pressure,task_clarity,time_available_hrs,distraction_level,perfectionism_score,reward_proximity,failure_weight,clarity_gap,delay_score,delay_label,primary_delay_cause,nudge_recommendation,acted
134,Fitness,4.57,136.8,6,9.95,-1.25,0.28,9.38,5.08,6.85,8.12,0.0073,0.03,0.62,47.78,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
135,Studying,1.34,334.9,7,7.26,-3.61,7.06,5.04,0.28,1.71,3.3,0.003,1.918,4.96,32.51,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
136,Studying,5.94,265.6,8,4.81,2.76,2.38,2.1,1.62,6.75,6.61,0.0038,4.152,7.9,79.27,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
137,Fitness,2.0,330.4,9,5.82,1.32,5.75,7.47,1.92,1.01,4.18,0.003,3.762,2.53,46.72,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
138,Health Checkup,4.75,242.7,1,5.71,-1.39,9.53,5.9,4.77,5.57,1.18,0.0041,0.429,4.1,22.66,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
139,Finance,1.39,141.5,5,3.28,-4.84,7.89,4.1,4.46,6.65,7.94,0.007,3.36,5.9,52.64,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
140,Creative Project,7.81,49.1,5,5.91,3.14,1.75,8.01,2.92,7.26,6.69,0.02,2.045,1.99,49.25,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
141,Studying,1.57,283.4,7,1.33,-2.98,7.91,8.97,2.06,3.79,4.58,0.0035,6.069,1.03,46.96,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
142,Health Checkup,5.26,13.8,10,2.72,-1.43,7.81,8.79,2.16,2.12,4.31,0.0676,7.28,1.21,28.34,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
143,Finance,7.69,326.6,6,4.05,-3.13,6.92,4.31,4.83,3.4,1.74,0.0031,3.57,5.69,68.67,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
144,Finance,1.71,220.1,2,5.91,-1.79,0.8,6.95,2.01,6.42,4.84,0.0045,0.818,3.05,33.47,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
145,Creative Project,5.0,163.5,11,8.83,-1.47,9.98,3.47,5.89,9.53,1.68,0.0061,1.287,6.53,47.74,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
146,Creative Project,4.66,187.5,11,7.11,4.53,1.43,6.47,4.74,1.31,1.61,0.0053,3.179,3.53,45.21,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
147,Creative Project,4.3,140.1,9,1.29,-3.47,4.5,4.34,2.8,1.69,2.24,0.0071,7.839,5.66,64.67,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
148,Career Choice,4.58,237.3,3,9.64,-4.74,1.86,5.66,5.5,2.06,7.97,0.0042,0.108,4.34,37.16,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
149,Creative Project,5.02,363.7,4,7.25,4.99,2.0,2.22,0.68,2.55,7.42,0.0027,1.1,7.78,59.76,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
150,Fitness,8.29,353.2,5,7.01,2.1,5.5,3.61,1.97,2.42,7.39,0.0028,1.495,6.39,60.92,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
151,Creative Project,6.74,289.8,8,3.02,4.85,7.92,3.13,3.09,4.25,6.15,0.0034,5.584,6.87,78.8,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
152,Finance,8.23,201.6,9,8.96,-4.34,3.98,7.45,3.0,4.7,4.68,0.0049,0.936,2.55,72.39,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
153,Health Checkup,1.66,354.9,10,1.67,-0.34,5.17,2.16,5.02,5.96,6.29,0.0028,8.33,7.84,84.29,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
154,Studying,4.89,332.5,0,8.48,0.18,3.04,2.46,5.62,3.03,9.53,0.003,0.0,7.54,49.86,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
155,Health Checkup,9.05,308.8,4,2.77,4.56,2.74,6.63,3.78,1.84,6.77,0.0032,2.892,3.37,67.22,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
156,Health Checkup,9.47,56.7,10,6.62,4.02,3.38,9.32,0.49,8.77,1.73,0.0173,3.38,0.68,60.98,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
157,Creative Project,7.94,97.0,3,7.9,-0.83,6.39,5.48,3.86,3.61,9.61,0.0102,0.63,4.52,42.11,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
158,Finance,3.2,294.8,6,3.68,-4.27,0.6,4.96,3.03,2.84,6.46,0.0034,3.792,5.04,52.6,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
159,Career Choice,8.75,116.9,5,9.78,-3.69,3.71,6.05,2.08,5.2,3.41,0.0085,0.11,3.95,41.17,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
160,Studying,2.27,18.9,6,8.78,-0.82,9.63,9.12,4.93,9.4,7.49,0.0503,0.732,0.88,20.34,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
161,Studying,7.87,182.1,8,5.2,3.79,4.97,1.81,2.51,5.12,3.17,0.0055,3.84,8.19,60.77,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
162,Health Checkup,4.18,18.9,7,6.38,3.43,6.73,3.57,0.3,1.97,2.21,0.0503,2.534,6.43,31.43,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
163,Career Choice,7.55,278.9,5,1.41,-4.49,5.62,4.26,1.91,4.48,5.05,0.0036,4.295,5.74,76.48,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
164,Health Checkup,3.52,361.0,10,6.5,-3.71,0.97,4.36,5.92,6.02,4.29,0.0028,3.5,5.64,71.59,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
165,Studying,2.79,186.1,8,1.36,-4.61,7.14,8.24,3.24,2.34,9.04,0.0053,6.912,1.76,59.91,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
166,Studying,3.95,224.0,2,4.54,1.17,8.43,6.34,3.17,5.59,5.41,0.0044,1.092,3.66,34.27,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
167,Health Checkup,3.7,297.8,5,3.98,-3.9,4.17,3.77,5.42,8.85,6.66,0.0033,3.01,6.23,71.68,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
168,Health Checkup,5.27,353.0,12,9.75,0.78,2.28,1.46,3.01,5.72,7.49,0.0028,0.3,8.54,88.69,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
169,Finance,2.33,248.6,0,6.15,2.01,1.91,4.97,2.66,4.72,2.84,0.004,0.0,5.03,21.64,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
170,Health Checkup,7.97,336.0,11,7.55,2.06,5.19,6.05,5.99,5.31,4.39,0.003,2.695,3.95,70.2,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
171,Studying,5.14,194.8,8,4.19,2.72,7.21,6.79,4.24,6.49,2.73,0.0051,4.648,3.21,52.39,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
172,Studying,3.51,109.3,4,7.94,2.05,6.9,5.4,3.01,6.04,9.41,0.0091,0.824,4.6,30.65,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
173,Creative Project,3.46,44.9,10,5.89,3.96,3.95,4.11,4.7,2.32,1.38,0.0218,4.11,5.89,27.78,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
174,Creative Project,1.71,337.3,10,3.31,-0.21,2.02,5.85,5.61,7.27,2.24,0.003,6.69,4.15,63.07,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
175,Health Checkup,7.67,87.7,0,7.03,0.31,6.38,1.47,2.63,7.46,1.9,0.0113,0.0,8.53,39.65,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
176,Studying,1.05,201.1,2,4.66,4.35,8.78,5.3,1.4,9.68,3.89,0.0049,1.068,4.7,35.31,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
177,Creative Project,1.53,280.7,10,6.17,0.35,7.23,9.43,5.5,2.58,8.94,0.0035,3.83,0.57,39.2,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
178,Studying,9.41,13.7,6,8.09,-3.14,7.49,8.85,1.91,1.34,3.69,0.068,1.146,1.15,24.27,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
179,Health Checkup,1.97,358.8,4,5.09,1.41,5.24,9.0,1.02,5.54,3.46,0.0028,1.964,1.0,36.92,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
180,Fitness,3.98,267.0,10,3.32,-3.14,7.37,8.12,3.51,7.82,2.58,0.0037,6.68,1.88,65.21,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
181,Creative Project,9.07,301.9,8,3.95,-0.99,0.95,9.84,3.0,9.42,1.06,0.0033,4.84,0.16,82.94,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
182,Finance,3.12,275.2,5,3.72,2.23,0.11,6.88,4.23,1.56,2.06,0.0036,3.14,3.12,45.07,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
183,Career Choice,2.44,250.6,11,7.93,1.9,6.39,9.47,2.36,2.99,9.62,0.004,2.277,0.53,40.81,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
184,Finance,2.38,273.0,9,4.36,2.02,9.13,7.82,4.86,8.43,7.86,0.0036,5.076,2.18,58.17,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
185,Creative Project,7.79,318.8,1,5.73,0.28,3.62,9.26,0.9,8.46,9.13,0.0031,0.427,0.74,67.91,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
186,Studying,6.15,55.1,5,8.69,-0.58,6.8,7.45,3.06,9.09,5.01,0.0178,0.655,2.55,37.59,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
187,Fitness,5.08,187.6,7,6.08,0.59,6.73,3.77,0.38,3.29,1.03,0.0053,2.744,6.23,42.26,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
188,Studying,6.2,17.0,5,7.3,0.41,0.6,9.05,5.92,5.25,3.58,0.0556,1.35,0.95,26.23,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
189,Studying,7.92,279.6,11,6.81,-0.8,9.93,4.44,5.25,9.16,4.38,0.0036,3.509,5.56,73.97,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
190,Creative Project,9.68,319.3,2,6.88,-1.52,1.78,5.84,3.29,7.55,3.0,0.0031,0.624,4.16,64.69,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
191,Fitness,7.81,357.2,7,7.06,0.44,5.32,8.41,1.67,4.12,3.48,0.0028,2.058,1.59,69.68,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
192,Creative Project,7.89,12.2,10,4.77,2.66,8.84,1.14,1.43,1.91,1.3,0.0758,5.23,8.86,53.87,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
193,Health Checkup,7.05,318.4,3,7.66,-0.98,2.34,2.96,5.22,1.51,5.54,0.0031,0.702,7.04,57.27,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
194,Career Choice,3.11,334.5,9,3.87,0.98,6.73,3.89,1.99,2.29,6.94,0.003,5.517,6.11,63.6,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
195,Studying,4.72,100.8,8,9.54,3.8,9.12,6.63,2.71,5.46,9.75,0.0098,0.368,3.37,27.37,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
196,Creative Project,7.04,286.9,5,7.27,-0.92,3.0,2.65,3.34,3.17,3.03,0.0035,1.365,7.35,62.74,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
197,Creative Project,2.3,169.3,0,6.06,4.68,5.57,2.21,1.65,2.83,6.82,0.0059,0.0,7.79,24.14,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
198,Finance,8.62,34.2,11,8.46,-4.48,3.77,6.44,0.48,1.66,8.24,0.0284,1.694,3.56,62.72,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
199,Health Checkup,7.52,204.2,7,2.88,4.07,3.03,9.18,1.47,2.71,7.67,0.0049,4.984,0.82,61.25,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
200,Creative Project,10.0,175.1,3,7.26,2.04,3.97,3.15,2.1,3.55,5.2,0.0057,0.822,6.85,56.5,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
201,Creative Project,4.23,95.8,8,8.95,-0.34,8.03,7.5,4.63,3.88,2.83,0.0103,0.84,2.5,14.09,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
202,Career Choice,4.73,205.5,3,7.67,-4.84,5.53,6.26,4.39,3.66,2.77,0.0048,0.699,3.74,31.08,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
203,Studying,4.42,304.3,7,5.96,4.43,3.38,7.87,3.06,7.51,7.66,0.0033,2.828,2.13,63.23,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
204,Finance,2.51,290.3,2,2.26,0.47,1.84,9.0,5.94,9.62,5.72,0.0034,1.548,1.0,44.11,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
205,Fitness,9.51,244.1,12,1.06,-3.63,6.31,1.61,1.12,2.97,5.1,0.0041,10.728,8.39,99.64,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
206,Fitness,6.56,243.5,9,9.21,1.59,0.16,5.79,2.62,1.15,7.5,0.0041,0.711,4.21,52.83,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
207,Health Checkup,9.8,6.7,11,7.07,3.06,9.1,1.96,0.8,2.34,2.73,0.1299,3.223,8.04,50.46,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
208,Health Checkup,3.27,129.7,12,4.57,-1.27,4.06,6.09,5.94,3.03,7.16,0.0077,6.516,3.91,57.53,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
209,Fitness,6.88,313.3,12,1.29,-0.95,3.77,5.28,3.91,7.33,1.74,0.0032,10.452,4.72,93.52,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
210,Finance,6.8,121.2,1,9.05,4.19,2.3,9.11,4.23,6.1,3.44,0.0082,0.095,0.89,20.21,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
211,Fitness,7.16,102.7,8,6.07,-4.67,9.29,3.83,5.78,6.28,7.77,0.0096,3.144,6.17,59.8,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
212,Creative Project,8.39,339.1,4,2.46,-2.6,8.35,4.5,5.41,3.99,7.8,0.0029,3.016,5.5,78.67,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
213,Studying,8.11,251.8,1,5.51,4.74,0.54,4.93,5.07,4.07,7.92,0.004,0.449,5.07,54.64,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
214,Health Checkup,4.57,282.5,0,6.71,2.84,4.51,3.05,3.43,4.38,2.67,0.0035,0.0,6.95,34.39,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
215,Health Checkup,6.95,31.7,9,3.66,-2.54,0.74,3.41,2.43,8.06,2.39,0.0306,5.706,6.59,74.81,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
216,Finance,3.85,39.3,0,9.49,-0.55,7.61,1.92,0.75,4.88,6.01,0.0248,0.0,8.08,13.14,Low,Ambiguity / Unclear Next Step,Write the very next physical action in one sentence.,1
217,Health Checkup,4.67,10.1,5,5.99,0.97,7.84,8.77,0.32,4.72,8.01,0.0901,2.005,1.23,23.58,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
218,Creative Project,9.11,330.4,3,6.15,-3.3,3.81,2.25,1.98,5.44,1.57,0.003,1.155,7.75,75.13,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
219,Finance,3.48,109.8,12,1.69,-2.48,2.47,6.63,3.66,2.76,1.96,0.009,9.972,3.37,61.18,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
220,Career Choice,1.06,144.7,9,4.42,3.62,4.4,4.88,4.99,6.86,6.35,0.0069,5.022,5.12,57.19,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
221,Career Choice,3.89,345.8,3,5.31,-3.22,3.98,3.87,4.48,6.7,9.71,0.0029,1.407,6.13,65.23,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
222,Studying,3.93,102.7,12,4.54,-3.86,5.64,6.33,3.39,7.14,5.95,0.0096,6.552,3.67,75.72,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
223,Creative Project,5.15,258.7,7,8.18,3.31,0.69,8.63,4.82,7.06,2.25,0.0039,1.274,1.37,42.02,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
224,Career Choice,3.18,240.6,11,4.81,-1.23,4.49,6.38,3.6,5.81,9.31,0.0041,5.709,3.62,57.78,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
225,Creative Project,4.76,13.9,5,7.31,3.12,5.94,9.23,0.88,3.23,6.98,0.0671,1.345,0.77,14.39,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
226,Studying,6.82,16.6,10,7.1,-1.0,7.53,9.69,2.73,1.09,3.33,0.0568,2.9,0.31,26.38,Low,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
227,Health Checkup,7.72,203.9,11,6.18,-0.54,3.91,7.95,3.63,5.5,4.1,0.0049,4.202,2.05,74.51,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
228,Fitness,5.34,108.2,1,2.04,4.41,1.42,3.81,2.87,2.86,5.35,0.0092,0.796,6.19,40.36,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
229,Finance,1.88,263.7,7,3.87,-2.0,8.1,2.04,5.13,6.83,7.09,0.0038,4.291,7.96,62.96,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
230,Studying,9.37,270.4,8,2.57,-3.4,5.6,9.63,1.58,4.65,2.66,0.0037,5.944,0.37,70.97,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
231,Creative Project,6.92,144.7,11,6.53,-3.03,5.92,4.5,4.3,2.85,7.77,0.0069,3.817,5.5,74.1,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
232,Fitness,6.2,291.9,8,2.68,-1.74,4.58,3.36,5.21,5.75,6.75,0.0034,5.856,6.64,89.21,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
233,Health Checkup,4.5,143.6,1,4.13,3.46,6.17,8.32,4.31,3.68,6.53,0.0069,0.587,1.68,21.95,Low,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
234,Fitness,7.05,114.7,3,3.75,-3.17,6.93,5.6,2.65,2.24,4.45,0.0086,1.875,4.4,34.79,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
235,Studying,5.38,196.4,10,9.38,-3.27,1.67,3.6,1.33,8.58,6.57,0.0051,0.62,6.4,80.69,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,0
236,Career Choice,9.57,177.1,3,8.34,4.64,5.05,5.45,4.19,4.74,8.56,0.0056,0.498,4.55,49.23,Medium,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
237,Finance,2.51,206.6,12,7.85,-2.08,2.75,5.84,1.22,5.12,7.68,0.0048,2.58,4.16,66.85,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
238,Finance,5.95,41.8,1,3.41,0.43,9.91,5.88,4.6,7.84,4.97,0.0234,0.659,4.12,28.38,Low,Overwhelm / Complexity,Break into 3 micro-tasks. Focus only on Step 1.,0
239,Studying,9.91,37.8,10,7.76,-2.02,9.99,5.05,2.25,8.35,4.95,0.0258,2.24,4.95,60.49,High,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
240,Fitness,7.98,86.9,12,7.64,1.89,8.61,6.49,2.71,6.55,8.06,0.0114,2.832,3.51,56.3,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,0
241,Studying,8.25,208.3,8,3.53,0.39,3.24,7.34,1.91,3.41,8.72,0.0048,5.176,2.66,76.51,High,Lack of Immediate Reward,Attach an immediate reward after the task. Use temptation bundling.,1
242,Creative Project,8.34,49.9,12,8.07,4.19,9.92,8.8,0.98,8.79,3.25,0.0196,2.316,1.2,48.57,Medium,Fear of Failure,Reframe failure as data. Start with a 2-minute version.,1
